ID,Research Paper ID,Tweet,Research Paper Intensity,Researcher 1 Classified Emotion,Researcher 1 Classified Intensity,Researcher 2 Classified Emotion,Researcher 2 Classified Intensity,Participant 1 Classified Emotion,Participant 1 Classified Intensity,Participant 2 Classified Emotion,Participant 2 Classified Intensity,Participant 3 Classified Emotion,Participant 3 Classified Intensity,Participant 4 Classified Emotion,Participant 4 Classified Intensity,Participant 5 Classified Emotion,Participant 5 Classified Intensity,Participant 6 Classified Emotion,Participant 6 Classified Intensity
0,,Depression sucks! #depression,0.958,depressed,3,,,,,,,depressed,5,Displeased,2,depressed,4,depressed,2
1,,Feeling worthless as always #depression,0.958,depressed,4,,,,,,,hurt,4,Displeased,1,depressed,5,depressed,2
2,,Feeling worthless as always,0.958,depressed,4,,,,,,,hurt,4,Displeased,3,depressed,5,depressed,2
3,,Im think ima lay in bed all day and sulk. Life is hitting me to hard rn,0.934,depressed,5,,,,,,,displeased,2,Depressed,4,depressed,4,depressed,4
4,,So when I try I fail... and when I don't try... I still fail... #confused and #lost,0.917,depressed,4,,,,,,,displeased,3,Depressed,5,displeased,4,hurt,4
5,,my life in one word is depressing,0.917,depressed,3,,,,,,,depressed,4,Displeased,3,depressed,4,depressed,3
6,,Panic attacks are the worst. Feeling really sick and still shaking. I should be a sleep. #anxiety #depression,0.917,depressed,5,,,,,,,depressed,3,Lonely,4,depressed,5,depressed,4
7,,Feel so grim + ugly atm,0.896,displeased,2,,,,,,,displeased,2,Depressed,4,displeased,3,displeased,2
8,,Honestly depression is kicking my ass lately..,0.896,depressed,5,,,,,,,depressed,3,Lonely,3,depressed,4,depressed,4
9,,At my age all I see is gray. Is it gray because of my bad eyes or my perspective #depression  #healingjustice,0.896,depressed,3,,,,,,,displeased,2,Depressed,4,depressed,5,displeased,3
10,,"After 3 idk why I start feeling so depress, sad and lonely.",0.896,depressed,3,,,,,,,lonely,3,Depressed,3,lonely,4,lonely,3
11,,I sulk too much for my own good.,0.896,depressed,3,,,,,,,displeased,4,Lonely,2,displeased,4,displeased,4
12,,A night where depression is winning... #depression #fml #help,0.896,depressed,3,,,,,,,depressed,4,Depressed,5,depressed,5,depressed,5
13,,Going home is depressing,0.896,depressed,2,,,,,,,depressed,2,Lonely,3,depressed,3,lonely,4
14,,We can't even grieve over one black body before another one pops up due to pig brutality,0.892,displeased,4,,,,,,,grief,3,Grief,3,grief,3,grief,3
15,,It's a gloomy ass day,0.888,depressed,3,,,,,,,displeased,1,Depressed,4,depressed,2,lonely,3
16,,@Fra93_bruno wow I'm just really sadden by that. Terrible,0.875,depressed,3,,,,,,,displeased,3,Displeased,3,depressed,1,hurt,4
17,,My heads still in Ibiza but my body is sat at me desk at work #depressing,0.875,displeased,1,,,,,,,displeased,3,Guilty,4,displeased,3,lonely,3
18,,@Ashleyavitia_ don't leave me #sad,0.875,lonely,4,,,,,,,grief,4,Grief,2,hurt,3,hurt,3
19,,Depression sucks!,0.875,depressed,2,,,,,,,depressed,5,Lonely,4,depressed,3,depressed,2
20,,This the most depressing shit ever,0.861,displeased,2,,,,,,,depressed,5,Hurt,3,depressed,3,hurt,3
21,,Sometimes The Worst Place You Can Be Is In Your Own Head.'\n\n#quotes #worstenemy #depression #thinktoomuch,0.854,displeased,3,,,,,,,hurt,4,Lonely,5,hurt,3,depressed,4
22,,It's been a week of awful connectivity with @TMobile no service or only 4G is not what Im paying for. #unhappy #poorservice,0.87,displeased,4,,,,,,,displeased,2,Displeased,5,displeased,4,displeased,5
23,,"@TMobileHelp my service is down in Cleveland, OH. What's going on? #unhappy",0.854,displeased,3,,,,,,,displeased,2,Displeased,3,displeased,4,displeased,5
24,,What a sad evening - clearing out all of Harvey's cage and belongings. Now so final. Goodbye my little man.... #depressing,0.854,grief,5,,,,,,,grief,5,Grief,4,grief,5,grief,3
25,,The moment of the day when you have to start to plaster a smile in your face. #depression,0.854,depressed,3,,,,,,,depressed,2,Depressed,4,depressed,4,depressed,3
26,,I hate when it's gloomy outside because it always gets me in a depressing mood,0.839,depressed,3,,,,,,,displeased,1,Displeased,3,depressed,1,lonely,3
27,,People stealing things from my work out quite the damper on my day so now I am going to wear pajamas all day,0.833,displeased,2,,,,,,,displeased,1,Guilty,4,hurt,3,displeased,2
28,,@FlakeJay ring ring! #depression is here,0.833,depressed,2,,,,,,,depressed,3,Depressed,2,depressed,3,hurt,4
29,,It's now September and we're still battling a situation that was said to be handled March of this year. @ATT this is unacceptable #unhappy,0.833,displeased,3,,,,,,,displeased,2,Displeased,5,displeased,4,displeased,5
30,,"@xBFDR yeah I'm sure it will, it's just so depressing having to talk to my parents over the phone instead of talking to them downstairs",0.833,depressed,3,,,,,,,guilty,1,Lonely,3,lonely,3,displeased,3
31,,| At home sick... ﾃｰﾅｸﾅｽﾂｼThe bluesﾃｰﾅｸﾅｽﾂｼ won't cure it so I need ideas ﾃｰﾅｸﾅｽﾂｸﾃｰﾅｸﾋ・Eﾂｭ | #sorethroat #sick #blues #music #fallweather #carletonuniversity #ottawa,0.833,depressed,3,,,,,,,displeased,1,Lonely,4,lonely,3,guilty,4
32,,I wouldn't wish anxiety and depression even on the worst of people. It's not fun. #anxiety #depression,0.833,depressed,3,,,,,,,grief,5,Depressed,5,depressed,4,depressed,5
33,,sorry Main twitter im in depress,0.833,depressed,3,,,,,,,guilty,2,Depressed,3,depression,3,depressed,2
34,,"@Markgatiss I'm surrounded by those Trump voters. You're right, it is fucking terrifying. #redstate #despair",0.833,displeased,4,,,,,,,displeased,3,Displeased,2,displeased,4,displeased,3
35,,come to the funeral tomorrow at 12 to mourn the death of my gpa,0.833,displeased,4,,,,,,,displeased,1,Guilty,3,displeased,3,hurt,3
36,,Thought I had a pretty solid GPA as a kin major and now that I look at the average for dpt programs I feel even more discouraged ﾃｰﾅｸﾋ・Eﾂｪ,0.812,displeased,4,,,,,,,displeased,1,Guilty,2,displeased,4,guilty,4
37,,depress ﾃｰﾅｸﾋ・E,0.812,depressed,1,,,,,,,depressed,5,Depressed,1,depressed,3,depressed,2
38,,Summer officially ends today. #sadness,0.812,displeased,2,,,,,,,displeased,1,Guilty,3,depressed,1,depressed,4
39,,Well my evaluation came back and i am minimally effective. Student test scores on the PARCC sunk my eval. it's time for me to quit teaching,0.812,displeased,4,,,,,,,displeased,4,Guilty,4,displeased,4,hurt,2
40,,"bad news fam, life is still hard and awful #depression #anxiety #atleastIhaveBuffy",0.812,depressed,4,,,,,,,depressed,1,Displeased,4,depressed,1,hurt,4
41,,"Oh, I should just 'get over' my #depression and 'be happy?' Don't you think I've tried that thousands of times already? You're not helping.",0.812,hurt,5,,,,,,,displeased,4,Depressed,3,hurt,4,hurt,4
42,,@Christy_RTR @doge_e_fresh I'm despondent,0.806,displeased,2,,,,,,,lonely,3,Depressed,1,depressed,3,displeased,1
43,,Too many gloomy days,0.792,depressed,2,,,,,,,displeased,1,Depressed,4,depressed,2,lonely,3
44,,The weather sure matches the mood in this state today.. #gloomy,0.792,depressed,2,,,,,,,displeased,1,Depressed,3,depressed,2,depressed,2
45,,and again dirty and  self loathing attitude  mope talking,0.792,depressed,2,,,,,,,grief,2,Guilty,3,depressed,5,lonely,3
46,,Wearing all black tomorrow as I continue to mourn the lives of the most recent victims of police brutality. #blackout #WU,0.779,grief,4,,,,,,,displeased,3,Grief,2,grief,4,grief,4
47,,Am I the only person who dislikes fall? #FirstDayofFall #leaves #thingsdie #depressing #cold #noflipflops ﾃｰﾅｸ・E・Eﾅｽﾃｰﾅｸﾂ・Eﾂｾﾃｰﾅｸ・E・Eﾅｽﾃｰﾅｸﾂ・Eﾂｽﾃｰﾅｸ・E・Eﾅｽﾃｰﾅｸﾂ・Eﾂｻﾃｰﾅｸﾂ・E・E・Eﾃｰﾅｸ,0.771,displeased,1,,,,,,,displeased,1,Displeased,3,depressed,2,displeased,1
48,,My soul is weary of fighting the battles in this world. #BlackInAmerica #WeAreNotSafe,0.771,displeased,3,,,,,,,lonely,4,Guilty,2,hurt,5,depressed,3
49,,Just wish I was appreciated for all I do! When is it my turn to be taken care of!! I want a break!! #tired,0.771,hurt,3,,,,,,,lonely,4,Lonely,4,hurt,4,hurt,4
50,,"@pureleine though lately with how bad my depression has been i feel like my body is like just, taking what little it can get",0.771,depressed,4,,,,,,,hurt,3,Depressed,2,depressed,4,depressed,4
51,,"so fucking sad when the person you love doesn't try fighting for your happiness, when you'd do anything for them.",0.771,hurt,5,,,,,,,hurt,3,Lonely,3,hurt,5,hurt,5
52,,The news is disheartening. Everything that is going on is a result of a lack of understanding and misinformation by the media. #sadness,0.771,displeased,3,,,,,,,displeased,3,Displeased,2,displeased,5,displeased,4
53,,@lebara - worst possible decision I could have made when arriving in the UK. Shocking service. Poor coverage. #unhappy,0.771,displeased,4,,,,,,,hurt,3,Displeased,5,displeased,5,displeased,3
54,,Condolences to the  JC and the Georges family.. #sad,0.771,grief,3,,,,,,,grief,3,Grief,1,grief,4,grief,3
55,,Groom gloom.,0.771,depressed,5,,,,,,,lonely,2,Depressed,3,depressed,2,grief,2
56,,I don't think I can go to work tomorrow since val has left #GBBO I need a day to mourn,0.754,depressed,5,,,,,,,grief,5,Grief,1,grief,3,lonely,3
57,,Good morning lovely people. Not gonna lie I've woken up feeling pretty glum.,0.754,depressed,3,,,,,,,lonely,1,Depressed,2,depressed,2,lonely,1
58,,@6itmap I can't help but feel melancholic!,0.75,depressed,4,,,,,,,lonely,2,Depressed,4,depressed,3,displeased,2
59,,@CTV_PowerPlay @lraitt Horrid disease! My maternal grandmother and each of her sisters suffered from this affliction. It's hard on all.,0.75,depressed,3,,,,,,,displeased,4,Hurt,2,grief,5,lonely,3
60,,If anybody needs me I'll be drowning my blues in a sea of whiskey ﾃｰﾅｸﾂ・Eﾂｻ,0.75,depressed,5,,,,,,,lonely,4,Depressed,3,depressed,4,hurt,5
61,,@Gaychel22 @Kellee_II @seattlepi even hard facts don't seem to be sinking in... I despair ﾃｰﾅｸﾋ・Eﾂｩ,0.75,depressed,4,,,,,,,displeased,4,Guilty,2,displeased,3,lonely,3
62,,So depressing that it's darker so much earlier now,0.75,depressed,4,,,,,,,displeased,1,Displeased,3,depressed,1,depressed,3
63,,It's just begun ladies and gents. The war on racism has begun. #sadness #Segregation continues.... smh ﾃｰﾅｸﾋ・E・E・E,0.75,displeased,3,,,,,,,hurt,4,Guilty,2,displeased,4,depressed,3
64,,@ily_geuly call me now I'm laying in my bed moping like I intend to do for the next 2 months.,0.74,depressed,5,,,,,,,depressed,3,Depressed,4,depressed,3,hurt,3
65,,Baaarissshhhhh + sad song =  prefect night ﾃ｢・E・Eｬ・E・E feeling alone,0.729,lonely,3,,,,,,,lonely,1,Lonely,2,lonely,4,lonely,4
66,,im so gloomy today,0.729,depressed,4,,,,,,,depressed,1,Displeased,2,depressed,1,lonely,4
67,,Honestly I've come to a place where I keep getting discouraged but just gotta tell myself to keep pushing through it.,0.729,depressed,3,,,,,,,displeased,3,Depressed,4,depressed,3,guilty,3
68,,so lost i'm faded,0.729,lonely,4,,,,,,,hurt,4,Lonely,5,depressed,3,lonely,5
69,,@British_Airways just came of BA6426 at @ortambo_int at least 6 passengers with broken bags. This was a new suitcase. #unhappy customer,0.729,displeased,4,,,,,,,displeased,3,Displeased,5,displeased,4,displeased,2
70,,"tomorrow will be the last episode of despair arc, so much shit is gonna happen i'm not emotionally prepared...",0.729,depressed,2,,,,,,,depressed,4,Lonely,3,depressed,1,depressed,4
71,,I don't want the pity of my instructors but I'd like some understanding. I'm truly trying despite ALL circumstances that make me discouraged,0.625,displeased,3,,,,,,,displeased,4,Guilty,2,displeased,3,hurt,3
72,,"There's many things I don't care about, and many things I do that I don't speak on because it's such a heaviness even when released...",0.625,depressed,3,,,,,,,displeased,2,Guilty,4,hurt,4,grief,4
73,,@knology has providing customers w/equipment that doesn't deliver speeds of internet services that they have been charging.  #scam,0.625,displeased,4,,,,,,,displeased,1,Displeased,5,displeased,4,displeased,3
74,,@el_tityboi bc it's a gloomy day Tony,0.625,depressed,4,,,,,,,lonely,2,Depressed,3,depressed,1,lonely,4
75,,@AmyMek this is so absurd I could laugh right now (if I also didn't feel like crying for the future of our country). #despair #wakeupcall,0.625,displeased,4,,,,,,,depressed,3,Displeased,5,displeased,5,guilty,2
76,,"Because of 'failure of delivery on time', a customer has to pay 16K rupees more! - Not good @tiagotatamotors @TataMotors #unhappy",0.625,displeased,5,,,,,,,displeased,4,Displeased,5,displeased,4,displeased,3
77,,It's sad when your man leaves work a little bit late and your worst fear is 'Oh no!! Did he get stopped by the police?!?! '  #ourworld,0.618,displeased,4,,,,,,,guilty,2,Lonely,4,hurt,5,lonely,2
78,,@JohnRMoffitt This is the most grim piece of laughter I was stricken with all day.,0.604,depressed,4,,,,,,,displeased,1,Depressed,1,displeased,1,displeased,2
79,,@deshbhakthoon always unhappy and easily offended.,0.604,displeased,3,,,,,,,guilty,2,Displeased,3,displeased,3,lonely,3
80,,What a sad day...1st day of Fall...I don't dislike Fall...I just LOVE Summer #FirstDayofFall #goodbyesummer #sadness #bathingsuitsforever,0.604,displeased,2,,,,,,,displeased,1,Displeased,2,depressed,1,grief,1
81,,i miss the guy who always make me sulk,0.604,lonely,2,,,,,,,lonely,2,Lonely,2,lonely,2,lonely,1
82,,@NewYorker @donlemon Trump presidency-a dark age for the USA and the world. He would most definitely take us to war. Short &amp; Long term pain,0.604,displeased,4,,,,,,,depressed,2,Displeased,2,displeased,4,displeased,2
83,,So unbelievably discouraged with music as of late. Incredibly behind on Completing my album. Not digging this at all.,0.604,displeased,4,,,,,,,hurt,3,Depressed,3,displeased,5,depressed,2
84,,Some of these people at this protest are just there for the adrenaline rush. #depressing,0.583,displeased,3,,,,,,,depressed,3,Guilty,3,hurt,4,displeased,4
85,,And there is despair underneath each and every action \nEach and every attempt to pierce the armour of numbness ' -Mgla,0.583,depressed,4,,,,,,,grief,4,Depressed,2,depressed,4,grief,2
86,,"One step forward, two steps backward, the link to RogerFedererShop doesnﾃ・Eﾂｴt work.ﾃｰﾅｸﾋ・Eﾂｰ I am losing hope about Roger Federer new Website #sadness",0.583,displeased,3,,,,,,,displeased,2,Displeased,4,displeased,3,depressed,3
87,,My friends tell me I'm pretty. Trigger tells my I'm ugly. I first was confused but then realised I'm both. Pretty ugly. #tru  #tumblr,0.583,depressed,3,,,,,,,hurt,2,Hurt,4,depressed,3,hurt,4
88,,@Ashleyavitia_ don't leave me,0.583,lonely,3,,,,,,,lonely,4,Lonely,2,lonely,5,lonely,5
89,,"@PaulJonMilne too grim, too insanely, determined to hurt you from",0.575,hurt,3,,,,,,,depressed,3,Hurt,2,hurt,3,grief,3
90,,"@comicfire The thing is, it's either I be unproductive and unhappy, or deal with some videos that do badly.",0.574,guilty,4,,,,,,,guilty,3,Guilty,3,displeased,4,displeased,2
91,,you never call me when your sober,0.562,hurt,3,,,,,,,hurt,5,Depressed,3,hurt,3,hurt,5
92,,Dylon felt dejected. He has a dejected aunt!,0.562,depressed,3,,,,,,,displeased,3,Depressed,3,depressed,3,hurt,2
93,,"3 weeks into the course and have had the kitchen sink thrown at me, I m still pulling knives and forks out of my ears",0.562,displeased,4,,,,,,,displeased,3,Displeased,4,hurt,3,displeased,4
94,,"@ActualFlatticus @veggie64_leslie @mtracey Call me a pessimist, but I don't think therapy can fix whatever is wrong with Anthony Weiner.",0.479,displeased,4,,,,,,,grief,2,Displeased,2,depressed,3,grief,2
95,,@lebara - worst possible decision I could have made when arriving in the UK. Shocking service. Poor coverage.,0.479,displeased,5,,,,,,,hurt,3,Displeased,5,displeased,5,displeased,2
96,,lost my 244 day snapchat streak i'm done,0.477,depressed,4,,,,,,,displeased,3,Lonely,3,displeased,1,depressed,5
97,,@ATTCares why do I have 2 wait 48 hours to call YOU back to cancel an order I JUST placed after already spending 2 hours on the phone?!,0.464,displeased,5,,,,,,,displeased,4,Displeased,5,displeased,5,hurt,4
98,,i stopped watching gotham cause they dropped off tabitha and barb's relationship and made her pine after the main,0.461,displeased,4,,,,,,,displeased,4,Lonely,3,displeased,2,guilty,2
99,,Never leave me alone with my credit card. Nope nope mope.,0.458,guilty,4,,,displeased,1,,,,,Depressed,2,guilty,3,guilty,4
100,,The horrible puns for the day have been made. I shall return to my cage in a dark corner by myself while crying &amp; laughing hysterical now.,0.458,depressed,4,,,depressed,5,,,,,Depressed,3,depressed,3,grief,2
101,,History repeating itself..GAA is our culture how dare anyone think it's ok to discourage any Irish person from attending any match or final,0.458,displeased,4,,,displeased,1,,,,,Displeased,4,hurt,4,hurt,3
102,,You don't know how to love me when you're sober #sober #selenagomez #revival,0.458,hurt,5,,,lonely,3,,,,,Lonely,3,hurt,4,hurt,4
103,,When you're on a train as its pitch black outside and you have no idea where you are... #travel #whereami #lost #adventure,0.438,depressed,3,,,lonely,3,,,,,Lonely,4,depressed,4,lonely,2
104,,"@BonesARP 'That is a disappointment.'\n\nHe fakes a pout, then starts to chuckle.",0.438,displeased,4,,,displeased,2,,,,,Displeased,4,displeased,2,guilty,1
105,,the ending of how I met your mother is dreadful,0.417,displeased,4,,,displeased,1,,,,,Displeased,3,displeased,1,hurt,3
106,,"Sometimes people leave you halfway through the wood. Do not let it grieve you, no one leaves for good. #youarenotalone #nooneisalone",0.417,hurt,3,,,grief,1,,,,,Grief,3,hurt,4,displeased,1
107,40100,@TheZantarin Then maybe we should keep our White mouths shut and let the people being targeted speak and mourn.,0.729,,,hurt,5,displeased,5,,,,,Guilt,3,,,,
108,40102,Ill say it again. If I was a Black man Id be afraid to leave my house or have a moving violation.\n\n#TerranceCrutcher #truth #sad,0.729,,,displeased,4,displeased,5,,,,,Guilt,4,,,,
109,40103,i is sad,0.729,,,depressed,3,depressed,1,,,,,Lonely ,4,,,,
110,40104,"Wanna pop some pills, sedate myself, and wake up tomorrow.",0.729,,,depressed,5,depressed,4,,,,,Depressed ,4,,,,
111,40105,Patti seems so sad. She stamped and ran behind the sofa. We will have to give her plenty of love and affection...more than usual. #sad,0.729,,,hurt,3,depressed,4,,,,,Guilt,4,,,,
112,40106,"It feels like there are no houses out there for us. With the most basic requirements I have, there are literally no options. #discouraged",0.729,,,displeased,5,displeased,2,,,,,Displeased ,3,,,,
113,40107,Don't wanna go to work but I want the money #sad,0.729,,,depressed,4,displeased,2,,,,,Guilt,2,,,,
114,40108,Wow the #Denver housing market is #depressing no places to buy in my range ﾃｰﾅｸﾋ・Eﾂ｢ #FML,0.729,,,depressed,4,displeased,3,,,,,Guilt,3,,,,
115,40110,I have not nap for 3 days in a row I'm very unhappy rn,0.729,,,displeased,5,displeased,3,,,,,Hurt,3,,,,
116,40111,@megalvz literally was gloomy for an hour,0.729,,,displeased,2,depressed,1,,,,,Depressed ,3,,,,
117,40112,"@MendipHillsAONB do we think the swallows and swifts have gone? Photo'd 3 nights ago, not seen since. #sad #Autumn",0.729,,,depressed,1,displeased,1,,,,,Lonely ,3,,,,
118,40113,"Fucking gutted, disheartened &amp; so pissed off.Gone from 1 off the toughest most resolute defences to the worst &amp; most shambolic #SCFC #STOHUL",0.729,,,displeased,4,hurt,3,,,,,Displeased ,4,,,,
119,40114,@TootingCommon stop!!! Don't make me laugh when I'm being sad.,0.708,,,depressed,2,displeased,1,,,,,Hurt,4,,,,
120,40115,Condolences to the  JC and the Georges family..,0.708,,,grief,3,grief,2,,,,,Grief,2,,,,
121,40116,"@GoPro your UX online is appalling! No clear save button, not being able to use any generic TLD's #unhappy",0.708,,,displeased,3,displeased,1,,,,,Displeased ,4,,,,
122,40117,Literally being here makes me depress tbh,0.708,,,depressed,4,depressed,3,,,,,Depressed ,3,,,,
123,40119,"This room is rather dreary, but we endure what we must.",0.708,,,depressed,2,lonely,2,,,,,Displeased ,3,,,,
124,40120,where broken hearted lovers do cry away their gloom,0.708,,,hurt,3,depressed,4,,,,,Grief ,4,,,,
125,40121,Another grim &amp; compelling news report by @Nawalf on the blockade of aid to the starving in #Yemen #BBC #dosomethingpoliticans,0.708,,,depressed,2,grief,1,,,,,Guilt,3,,,,
126,40122,@GCC_DiscGolf lost my xt nova around hole 8 or 9 #sadness,0.708,,,hurt,3,displeased,1,,,,,Displeased,3,,,,
127,40123,@Uber_RSA when you click over and over again for a cupcake but there are no vehicles available... #sadness,0.708,,,displeased,3,displeased,1,,,,,Displeased ,4,,,,
128,40124,Nasty nasty chilly rain has put a damper on my afternoon cigar.  This is NOT a good thing. @cspanwj And FOUR #CongressCritters tomorrow?,0.708,,,depressed,2,displeased,2,,,,,Displeased ,4,,,,
129,40125,I got diagnosed with severe-extreme depression and I didn't know there was a difference between those two lol,0.708,,,depressed,4,depressed,5,,,,,Lonely ,5,,,,
130,40126,#haikuchallenge #haiku\n\nThe crisp autumn air\nMy freedom purchased through death\nNo one will mourn me,0.708,,,depressed,3,depressed,3,,,,,Lonely ,3,,,,
131,40127,Smokeys dad is sad :/,0.689,,,depressed,1,grief,3,,,,,Displeased ,3,,,,
132,40128,"Americans as a whole are, for the most part, feeling borderline despair at the very least. Looking at a situation out of control.",0.688,,,depressed,4,displeased,1,,,,,Displeased ,4,,,,
133,40129,@ryyyshh story of my life. #lost,0.688,,,depressed,2,displeased,1,,,,,Depressed ,3,,,,
134,40130,When will the weeks full of Mondays end?? #disheartened,0.688,,,depressed,4,displeased,1,,,,,Guilt,3,,,,
